sentence pair id,evaluator id,score,human translation,machine translation,original
BG_SE_11,DW_Bulgarian_02,27,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,DW_Bulgarian_01,30,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_12,BBC_Bulgarian_02,90,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,DW_Bulgarian_02,96,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,DW_Bulgarian_01,90,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,BBC_Bulgarian_01,91,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_12,BBC_Bulgarian_03,94,Но този бум има и тъмна страна. ,Но този бум има тъмна страна.,But this boom has a dark side.  
BG_SE_13,BBC_Bulgarian_02,45,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,BBC_Bulgarian_03,46,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,DW_Bulgarian_02,40,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,DW_Bulgarian_01,46,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_13,BBC_Bulgarian_01,38,А и да види повече от Шотландия - не само ягодовите полета. ,"И би искал да види повече Шотландия, отколкото само ягодовите полета.",And he'd like to see more of Scotland than just the strawberry fields. 
BG_SE_14,BBC_Bulgarian_01,90, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,DW_Bulgarian_02,87, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,BBC_Bulgarian_02,90, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,DW_Bulgarian_01,88, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_14,BBC_Bulgarian_03,89, Преди 50 години хората кацат за първи път на Луната. ,Преди 50 години хората кацнаха на Луната за първи път.,"50 years ago, humans landed on the moon for the first time. "
BG_SE_15,BBC_Bulgarian_02,38,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,BBC_Bulgarian_03,40,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,DW_Bulgarian_02,37,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,BBC_Bulgarian_01,37,Аз отказах. ,Отказах.,I refused. 
BG_SE_15,DW_Bulgarian_01,37,Аз отказах. ,Отказах.,I refused. 
BG_SE_16,BBC_Bulgarian_03,73,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,DW_Bulgarian_01,76,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,BBC_Bulgarian_01,81,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,BBC_Bulgarian_02,75,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_16,DW_Bulgarian_02,77,Палеща жега и леден мраз. ,Пламнал горещ и мразовит студ,Scorching hot and freezing cold
BG_SE_18,BBC_Bulgarian_01,52,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,BBC_Bulgarian_02,54,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,DW_Bulgarian_02,50,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,BBC_Bulgarian_03,54,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_18,DW_Bulgarian_01,48,"Оттогава сме научили много за спътника на Земята, но не всичко. ","Оттогава научихме много, много неща за единствения спътник на нашата Земя, но не и всичко.","Since then, we have learned many, many things about our Earth's only satellite, but not everything."
BG_SE_20,BBC_Bulgarian_01,37,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,BBC_Bulgarian_03,38,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,BBC_Bulgarian_02,39,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,DW_Bulgarian_01,33,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_20,DW_Bulgarian_02,37,Днешната политическа класа никога няма да вкара Албания в ЕС. ,Настоящата политическа класа никога няма да слее Албания в Европейския съюз.,This current political class will never merge Albania into the European Union. 
BG_SE_22,BBC_Bulgarian_01,38,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,DW_Bulgarian_01,42,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,DW_Bulgarian_02,36,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,BBC_Bulgarian_03,34,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_22,BBC_Bulgarian_02,33,"Доказателство за това било знамето, развяващо се от вятъра, а вятър в космическия вакуум няма. ","Те посочват факта, че знамето се е развявало като че ли от вятъра, което би било невъзможно във вакуума на космоса.","They point to the fact that the flag waved as if moved by the wind, which would be impossible in space's vacuum. "
BG_SE_24,BBC_Bulgarian_01,63,"И никога не съм им казвал, че сме специално семейство. ","Също така никога не съм казвал, че сме специално семейство.",I also never said that we are a special family. 
BG_SE_24,BBC_Bulgarian_03,71,"И никога не съм им казвал, че сме специално семейство. ","Също така никога не съм казвал, че сме специално семейство.",I also never said that we are a special family. 
BG_SE_24,DW_Bulgarian_01,71,"И никога не съм им казвал, че сме специално семейство. ","Също така никога не съм казвал, че сме специално семейство.",I also never said that we are a special family. 
BG_SE_24,BBC_Bulgarian_02,63,"И никога не съм им казвал, че сме специално семейство. ","Също така никога не съм казвал, че сме специално семейство.",I also never said that we are a special family. 
BG_SE_24,DW_Bulgarian_02,68,"И никога не съм им казвал, че сме специално семейство. ","Също така никога не съм казвал, че сме специално семейство.",I also never said that we are a special family. 
BG_SE_25,DW_Bulgarian_02,93,Случаят вдигна голям шум в руските медии.,Случаят получи доста медийно внимание в Русия.,The case has received a lot of media attention in Russia. 
BG_SE_25,BBC_Bulgarian_01,90,Случаят вдигна голям шум в руските медии.,Случаят получи доста медийно внимание в Русия.,The case has received a lot of media attention in Russia. 
BG_SE_25,DW_Bulgarian_01,91,Случаят вдигна голям шум в руските медии.,Случаят получи доста медийно внимание в Русия.,The case has received a lot of media attention in Russia. 
BG_SE_25,BBC_Bulgarian_02,93,Случаят вдигна голям шум в руските медии.,Случаят получи доста медийно внимание в Русия.,The case has received a lot of media attention in Russia. 
BG_SE_25,BBC_Bulgarian_03,93,Случаят вдигна голям шум в руските медии.,Случаят получи доста медийно внимание в Русия.,The case has received a lot of media attention in Russia. 
BG_SE_26,BBC_Bulgarian_01,91,Но след 10 дни получих свидетелството за пригодност. ,Но 10 дни по-късно имах потвърждение на удостоверение за годност.,But 10 days later I had the confirmation of suitability certificate. 
BG_SE_26,DW_Bulgarian_01,94,Но след 10 дни получих свидетелството за пригодност. ,Но 10 дни по-късно имах потвърждение на удостоверение за годност.,But 10 days later I had the confirmation of suitability certificate. 
BG_SE_26,BBC_Bulgarian_03,88,Но след 10 дни получих свидетелството за пригодност. ,Но 10 дни по-късно имах потвърждение на удостоверение за годност.,But 10 days later I had the confirmation of suitability certificate. 
BG_SE_26,BBC_Bulgarian_02,92,Но след 10 дни получих свидетелството за пригодност. ,Но 10 дни по-късно имах потвърждение на удостоверение за годност.,But 10 days later I had the confirmation of suitability certificate. 
BG_SE_26,DW_Bulgarian_02,93,Но след 10 дни получих свидетелството за пригодност. ,Но 10 дни по-късно имах потвърждение на удостоверение за годност.,But 10 days later I had the confirmation of suitability certificate. 
BG_SE_27,DW_Bulgarian_01,41,"Димитри би искал да остане в Шотландия постоянно, а не само в активния сезон. ","Димитри искал да остане в Шотландия постоянно, вместо точно по време на сезона на реколтата.","Dimitri would like to stay in Scotland permanently, instead of just during the harvest season. "
BG_SE_27,BBC_Bulgarian_01,37,"Димитри би искал да остане в Шотландия постоянно, а не само в активния сезон. ","Димитри искал да остане в Шотландия постоянно, вместо точно по време на сезона на реколтата.","Dimitri would like to stay in Scotland permanently, instead of just during the harvest season. "
BG_SE_27,BBC_Bulgarian_03,37,"Димитри би искал да остане в Шотландия постоянно, а не само в активния сезон. ","Димитри искал да остане в Шотландия постоянно, вместо точно по време на сезона на реколтата.","Dimitri would like to stay in Scotland permanently, instead of just during the harvest season. "
BG_SE_27,BBC_Bulgarian_02,32,"Димитри би искал да остане в Шотландия постоянно, а не само в активния сезон. ","Димитри искал да остане в Шотландия постоянно, вместо точно по време на сезона на реколтата.","Dimitri would like to stay in Scotland permanently, instead of just during the harvest season. "
BG_SE_27,DW_Bulgarian_02,35,"Димитри би искал да остане в Шотландия постоянно, а не само в активния сезон. ","Димитри искал да остане в Шотландия постоянно, вместо точно по време на сезона на реколтата.","Dimitri would like to stay in Scotland permanently, instead of just during the harvest season. "
BG_SE_28,BBC_Bulgarian_02,14,"Изкуството на ""Рамщайн"" е по-скоро оспорване на установените традиции и възприетите стандарти.",Rammstein на артистичност е повече за предизвикателни конвенции и приети стандарти.,Rammstein's artistry is more about challenging conventions and accepted standards.
BG_SE_28,DW_Bulgarian_01,18,"Изкуството на ""Рамщайн"" е по-скоро оспорване на установените традиции и възприетите стандарти.",Rammstein на артистичност е повече за предизвикателни конвенции и приети стандарти.,Rammstein's artistry is more about challenging conventions and accepted standards.
BG_SE_28,BBC_Bulgarian_03,18,"Изкуството на ""Рамщайн"" е по-скоро оспорване на установените традиции и възприетите стандарти.",Rammstein на артистичност е повече за предизвикателни конвенции и приети стандарти.,Rammstein's artistry is more about challenging conventions and accepted standards.
BG_SE_28,BBC_Bulgarian_01,16,"Изкуството на ""Рамщайн"" е по-скоро оспорване на установените традиции и възприетите стандарти.",Rammstein на артистичност е повече за предизвикателни конвенции и приети стандарти.,Rammstein's artistry is more about challenging conventions and accepted standards.
BG_SE_28,DW_Bulgarian_02,17,"Изкуството на ""Рамщайн"" е по-скоро оспорване на установените традиции и възприетите стандарти.",Rammstein на артистичност е повече за предизвикателни конвенции и приети стандарти.,Rammstein's artistry is more about challenging conventions and accepted standards.
BG_SE_29,DW_Bulgarian_02,43,Андрей: Никога не сме им казвали това. ,Андрей: Никога не сме им казвали това.,Andrei: We never told them that. 
BG_SE_29,DW_Bulgarian_01,49,Андрей: Никога не сме им казвали това. ,Андрей: Никога не сме им казвали това.,Andrei: We never told them that. 
BG_SE_29,BBC_Bulgarian_03,49,Андрей: Никога не сме им казвали това. ,Андрей: Никога не сме им казвали това.,Andrei: We never told them that. 
BG_SE_29,BBC_Bulgarian_01,49,Андрей: Никога не сме им казвали това. ,Андрей: Никога не сме им казвали това.,Andrei: We never told them that. 
BG_SE_29,BBC_Bulgarian_02,43,Андрей: Никога не сме им казвали това. ,Андрей: Никога не сме им казвали това.,Andrei: We never told them that. 
BG_SE_30,DW_Bulgarian_02,45, Но Хайредин Фратари се тревожи за бъдещето на своя бизнес. ,"Хайредин Фратини искаше да говори по въпрос, който осакатява бъдещето на бизнеса му.",Hajredin Fratari wanted to talk about an issue that's crippling the future of his business. 
BG_SE_30,BBC_Bulgarian_01,40, Но Хайредин Фратари се тревожи за бъдещето на своя бизнес. ,"Хайредин Фратини искаше да говори по въпрос, който осакатява бъдещето на бизнеса му.",Hajredin Fratari wanted to talk about an issue that's crippling the future of his business. 
BG_SE_30,DW_Bulgarian_01,40, Но Хайредин Фратари се тревожи за бъдещето на своя бизнес. ,"Хайредин Фратини искаше да говори по въпрос, който осакатява бъдещето на бизнеса му.",Hajredin Fratari wanted to talk about an issue that's crippling the future of his business. 
BG_SE_30,BBC_Bulgarian_02,39, Но Хайредин Фратари се тревожи за бъдещето на своя бизнес. ,"Хайредин Фратини искаше да говори по въпрос, който осакатява бъдещето на бизнеса му.",Hajredin Fratari wanted to talk about an issue that's crippling the future of his business. 
BG_SE_30,BBC_Bulgarian_03,44, Но Хайредин Фратари се тревожи за бъдещето на своя бизнес. ,"Хайредин Фратини искаше да говори по въпрос, който осакатява бъдещето на бизнеса му.",Hajredin Fratari wanted to talk about an issue that's crippling the future of his business. 
BG_SE_31,BBC_Bulgarian_02,81,Това бе много неприятно и шокиращо за детето. ,Това е много неприятно и шокиращо за едно дете.,This is very unpleasant and shocking for a child. 
BG_SE_31,BBC_Bulgarian_01,81,Това бе много неприятно и шокиращо за детето. ,Това е много неприятно и шокиращо за едно дете.,This is very unpleasant and shocking for a child. 
BG_SE_31,DW_Bulgarian_01,83,Това бе много неприятно и шокиращо за детето. ,Това е много неприятно и шокиращо за едно дете.,This is very unpleasant and shocking for a child. 
BG_SE_31,DW_Bulgarian_02,77,Това бе много неприятно и шокиращо за детето. ,Това е много неприятно и шокиращо за едно дете.,This is very unpleasant and shocking for a child. 
BG_SE_31,BBC_Bulgarian_03,80,Това бе много неприятно и шокиращо за детето. ,Това е много неприятно и шокиращо за едно дете.,This is very unpleasant and shocking for a child. 
BG_SE_34,DW_Bulgarian_02,19,Нито един от по-старите филми на ужасите не минава без този вой. ,Вой на Луната - не стари timey страховит филм е пълен без него.,Howling at the moon — no old-timey scary movie is complete without it. 
BG_SE_34,BBC_Bulgarian_03,21,Нито един от по-старите филми на ужасите не минава без този вой. ,Вой на Луната - не стари timey страховит филм е пълен без него.,Howling at the moon — no old-timey scary movie is complete without it. 
BG_SE_34,BBC_Bulgarian_02,16,Нито един от по-старите филми на ужасите не минава без този вой. ,Вой на Луната - не стари timey страховит филм е пълен без него.,Howling at the moon — no old-timey scary movie is complete without it. 
BG_SE_34,DW_Bulgarian_01,22,Нито един от по-старите филми на ужасите не минава без този вой. ,Вой на Луната - не стари timey страховит филм е пълен без него.,Howling at the moon — no old-timey scary movie is complete without it. 
BG_SE_34,BBC_Bulgarian_01,21,Нито един от по-старите филми на ужасите не минава без този вой. ,Вой на Луната - не стари timey страховит филм е пълен без него.,Howling at the moon — no old-timey scary movie is complete without it. 
BG_SE_35,DW_Bulgarian_01,39,"Докато групата се подготвя за следващия си концерт, в Русия бяха задържани стотици опозиционни активисти. ","Докато групата се подготвя за следващите си концерти, стотици опозиционни активисти в Русия са задържани.","As the band prepare for their next concerts, hundreds of opposition activists in Russia are being detained."
